Date,Open,High,Low,Close,Adj Close
30/09/2019,162.759995,172.479996,158.559998,166.759995,166.759995
07/10/2019,163.080002,178.160004,161.770004,170.860001,170.860001
14/10/2019,169.860001,173.610001,162.960007,164.720001,164.720001
21/10/2019,169.350006,178.779999,153.529999,177.179993,177.179993
28/10/2019,193.360001,197.320007,183.619995,188.020004,188.020004
04/11/2019,187.649994,193.460007,180.139999,182.660004,182.660004
11/11/2019,186.940002,187.520004,175.266998,175.408005,175.408005
18/11/2019,179.774994,179.860992,142.108002,150.889999,150.889999
25/11/2019,145.899994,158.289993,135.302002,157.037003,157.037003
02/12/2019,151.001007,156.050003,145.828995,151.779999,151.779999
09/12/2019,153.354996,154.287003,145.552002,147.595001,147.595001
16/12/2019,145.634003,145.669006,129.970993,143.072006,143.072006
23/12/2019,146.542999,150.343994,141.576004,143.507996,143.507996
30/12/2019,147.785995,148.826004,137.307007,145.089005,145.089005
06/01/2020,147.953003,165.149002,147.429993,160.037003,160.037003
13/01/2020,163.085007,185.556,161.078003,184.074005,184.074005
20/01/2020,177.315994,182.391998,168.949005,174.845001,174.845001
27/01/2020,177.160995,197.550003,176.742996,192.660995,192.660995
03/02/2020,196.296997,209.511993,190.304993,207.166,207.166
10/02/2020,215.544006,230.298004,208.447998,229.167007,229.167007
17/02/2020,210.957993,222.436005,203.955002,208.755005,208.755005
24/02/2020,214.020996,216.311996,179.401001,183.632996,183.632996
02/03/2020,180.815002,195.904999,180.557007,194.617996,194.617996
09/03/2020,173.751999,173.783005,84.776001,114.655998,114.655998
16/03/2020,113.042999,140.804993,95.103996,126.931999,126.931999
23/03/2020,122.525002,139.289993,118.412003,136.376999,136.376999
30/03/2020,122.177002,144.160995,121.282997,137.419006,137.419006
06/04/2020,138.432007,154.524994,138.382996,142.988998,142.988998
13/04/2020,147.227997,148.932999,135.921997,148.029999,148.029999
20/04/2020,151.483994,158.412994,142.962006,158.082993,158.082993
27/04/2020,160.477997,193.733002,160.123001,180.602997,180.602997
04/05/2020,181.494003,199.656998,175.985001,198.834,198.834
11/05/2020,174.871994,193.154999,167.796997,187.272995,187.272995
18/05/2020,193.557999,194.024002,180.529007,185.899994,185.899994
25/05/2020,181.020996,193.276993,178.514999,190.141998,190.141998
01/06/2020,197.744995,202.227997,194.992004,198.397995,198.397995
08/06/2020,198.917007,202.242004,189.210007,193.764999,193.764999
15/06/2020,193.080994,193.709,189.016998,189.556,189.556
22/06/2020,196.233994,197.274002,186.054993,187.869003,187.869003
29/06/2020,187.132996,188.490005,184.906006,185.401001,185.401001
06/07/2020,191.348999,197.403,191.283997,195.817993,195.817993
13/07/2020,156.753998,156.753998,156.753998,156.753998,156.753998
20/07/2020,null,null,null,null,null
27/07/2020,null,null,null,null,null
03/08/2020,null,null,null,null,null
10/08/2020,null,null,null,null,null
17/08/2020,257.958008,263.399994,253.761993,253.847,253.847
24/08/2020,259.109009,259.234985,245.354996,250.889008,250.889008
31/08/2020,260.265991,271.119995,224.240997,233.781998,233.781998
07/09/2020,225.216003,228.919998,212.718994,219.268997,219.268997
14/09/2020,225.822006,239.406998,215.341003,227.153,227.153
21/09/2020,223.061005,230.313004,206.815994,220.451004,220.451004
28/09/2020,233.494995,233.686996,212.998993,216.315994,216.315994
05/10/2020,230.266998,237.406998,215.259003,236.578003,236.578003
12/10/2020,239.421005,240.811005,228.910004,231.050995,231.050995
19/10/2020,234.264008,265.23999,233.268997,260.07901,260.07901
26/10/2020,259.802002,273.410004,256.233002,264.459991,264.459991
02/11/2020,264.757996,303.378998,263.848999,298.519989,298.519989
09/11/2020,298.722992,315.800995,295.927002,315.212006,315.212006
16/11/2020,319.247986,356.44101,318.908997,353.423004,353.423004
23/11/2020,364.40799,379.639008,317.964996,334.294006,334.294006
30/11/2020,379.751007,383.764008,365.192993,365.192993,365.192993
07/12/2020,373.902008,373.902008,342.869995,352.75,352.75
14/12/2020,374.662994,444.292999,374.662994,438.734009,438.734009
21/12/2020,438.442993,447.424988,422.820007,440.372009,440.372009
28/12/2020,504.117004,537.270996,498.295013,536.856018,536.856018
04/01/2021,653.184021,786.429993,652.271973,761.283997,761.283997
11/01/2021,660.651978,753.05603,637.244019,691.692993,691.692993
18/01/2021,704.913025,725.713989,601.288025,601.288025,601.288025
25/01/2021,649.828003,757.216003,610.083008,699.258972,699.258972
01/02/2021,679.554016,792.278015,678.317017,785.645996,785.645996
08/02/2021,889.265991,983.810974,889.200012,980.187012,980.187012
15/02/2021,982.314026,1142.968018,981.932007,1138.578003,1138.578003
22/02/2021,1093.050049,1093.050049,885.215027,914.051025,914.051025
01/03/2021,978.771973,986.947998,930.317017,978.132996,978.132996
08/03/2021,1043.02002,1155.464966,1042.983032,1132.353027,1132.353027
15/03/2021,1187.404053,1197.503052,1066.420044,1172.689941,1172.689941
22/03/2021,1091.337036,1143.963989,1016.463013,1100.343018,1100.343018
29/03/2021,1155.363037,1207.840942,1155.363037,1207.426025,1207.426025
05/04/2021,1234.331055,1243.833008,1169.185059,1233.383057,1233.383057
12/04/2021,1284.024048,1407.105957,1284.017944,1393.977051,1393.977051
19/04/2021,1261.688965,1290.629028,1078.284058,1163.428955,1163.428955
26/04/2021,1209.588013,1342.686035,1209.588013,1337.473022,1337.473022
03/05/2021,1409.531982,1520.024048,1366.589966,1473.187988,1473.187988
10/05/2021,1470.197998,1484.447998,1316.307007,1404.964966,1404.964966
17/05/2021,1228.823975,1228.823975,846.125,933.133972,933.133972
