Date,Open,High,Low,Close,Adj Close
25/09/2019,170.839996,174.169998,165.679993,170.419998,170.419998
26/09/2019,171.029999,172.869995,158.020004,162.809998,162.809998
27/09/2019,162.259995,164.169998,160.160004,163.679993,163.679993
30/09/2019,162.759995,168.679993,158.559998,167.080002,167.080002
01/10/2019,167.059998,172.479996,166.550003,169.520004,169.520004
02/10/2019,169.380005,169.380005,166.270004,167.429993,167.429993
03/10/2019,167.720001,170.229996,164.669998,165.440002,165.440002
04/10/2019,165.660004,167.559998,165.190002,166.759995,166.759995
07/10/2019,163.080002,170.350006,161.770004,169.229996,169.229996
08/10/2019,169.300003,171.279999,168.110001,168.220001,168.220001
09/10/2019,168.429993,177.080002,168.100006,176.619995,176.619995
10/10/2019,176.559998,176.820007,173.350006,175.880005,175.880005
11/10/2019,175.809998,178.160004,170.589996,170.860001,170.860001
14/10/2019,169.860001,172.970001,169.860001,172.679993,172.679993
15/10/2019,172.220001,173.610001,168.559998,168.589996,168.589996
16/10/2019,168.479996,169.5,164.199997,165,165
17/10/2019,164.919998,168.330002,164.649994,167.279999,167.279999
18/10/2019,167.350006,168.300003,162.960007,164.720001,164.720001
21/10/2019,169.350006,170.580002,168.580002,169.570007,169.570007
22/10/2019,169.720001,170.690002,167.949997,168.210007,168.210007
23/10/2019,168.279999,168.279999,153.529999,155.520004,155.520004
24/10/2019,155.029999,156.529999,153.919998,156.169998,156.169998
25/10/2019,156.210007,178.779999,155.419998,177.179993,177.179993
28/10/2019,193.360001,197.320007,187.889999,191.830002,191.830002
29/10/2019,191.389999,193.039993,187.669998,192.179993,192.179993
30/10/2019,192.610001,192.880005,185.119995,187.520004,187.520004
31/10/2019,187.440002,190.520004,183.619995,186.919998,186.919998
01/11/2019,186.940002,188.130005,185.800003,188.020004,188.020004
04/11/2019,187.649994,193.009995,187.009995,191.839996,191.839996
05/11/2019,191.610001,192.729996,189.059998,192.100006,192.100006
06/11/2019,191.490005,193.460007,191.029999,192.289993,192.289993
07/11/2019,192.039993,192.860001,188.399994,189.880005,189.880005
08/11/2019,189.869995,190.070007,180.139999,182.660004,182.660004
11/11/2019,186.940002,187.520004,179.929993,181.509995,181.509995
12/11/2019,181.389999,183.149994,179.710007,181.759995,181.759995
13/11/2019,181.475998,183.037994,181.289993,182.248001,182.248001
14/11/2019,182.214005,182.774002,179.932999,180.307007,180.307007
15/11/2019,180.373001,180.796997,175.266998,175.408005,175.408005
18/11/2019,179.774994,179.860992,170.738998,172.005997,172.005997
19/11/2019,171.602997,173.761993,166.828995,169.393005,169.393005
20/11/2019,169.362,170.132996,165.822006,166.156998,166.156998
21/11/2019,166.063004,166.903,156.046005,156.804993,156.804993
22/11/2019,157.113007,158.451996,142.108002,150.889999,150.889999
25/11/2019,145.899994,148.470001,135.302002,148.098999,148.098999
